customer_id,customer_ltv,total_successful_payments,total_failed_payments,average_payment_amount,preferred_payment_method
C00001,44721.72987952053,17,0,4604.723683658152,Card
C00002,15391.144338439599,6,9,2571.0427803019147,UPI
C00003,39620.7717195925,4,3,3812.3639074440553,UPI
C00004,75604.84965564933,24,2,4536.780380601076,UPI
C00005,10842.570353093286,7,4,2871.633682715567,Card
C00006,29902.28713125832,4,2,1249.6372821881475,UPI
C00007,95485.39529082079,16,0,8669.471536304585,UPI
C00008,71998.13519507869,9,2,3281.0937897292893,UPI
C00009,22562.813986041536,11,4,804.3562241462762,Card
C00010,20371.707697265185,6,3,752.6145002741073,Card
C00011,10161.275577243572,9,4,2918.850189938785,UPI
C00012,87291.37424369378,9,2,4951.79915107856,UPI
C00013,51209.459415915335,11,0,5233.336675816058,Card
C00014,31283.090891706528,8,4,2746.316265372584,UPI
C00015,58870.47132602355,15,1,5184.401299950028,UPI
C00016,32466.05259609255,7,2,1762.4568370887805,Card
C00017,7971.11907766762,1,3,2790.0368018202034,UPI
C00018,16750.484016470284,6,1,1915.8501712371806,UPI
C00019,13652.55031706682,5,2,2190.5602814718486,UPI
C00020,78226.37649584212,20,0,21071.371438033544,UPI
C00021,14619.386442697421,6,2,3553.0755806995076,UPI
C00022,35241.74621538119,4,2,3666.0984826081044,UPI
C00023,33028.46648147174,8,3,2130.4283995434166,Card
C00024,144628.82458010345,15,3,19382.77780799249,Card
C00025,180011.54180288067,14,1,21925.98694054148,UPI
C00026,11280.795635296368,10,1,3035.413924954805,Card
C00027,27274.124595038258,8,4,1953.7113701982064,UPI
C00028,64124.524343939054,9,1,5999.02880818657,NetBanking
C00029,9892.711475971655,2,4,2481.7300158608377,NetBanking
C00030,46064.495654429535,13,1,5449.32096586236,UPI
C00031,30038.0593441967,7,2,2650.345046475772,NetBanking
C00032,39792.826977933044,5,3,2058.07988436956,NetBanking
C00033,79818.35856340083,13,1,5150.059803662722,UPI
C00034,46682.84835424667,15,0,1116.9047586210127,UPI
