payment_id,customer_id,amount,payment_method,failure_reason,timestamp,initial_action,recovered,recovery_time_hours
P000001,C01009,1614.25,Card,card_declined,2026-03-26 12:43:00,retry,False,
P000002,C03548,1573.7,UPI,insufficient_balance,2026-04-26 18:30:00,message,True,15.0
P000003,C03427,3419.83,Card,expired_card,2026-05-28 11:38:00,retry,False,
P000004,C02050,1802.42,NetBanking,card_declined,2026-01-13 12:14:00,message,True,59.0
P000005,C00988,1983.01,UPI,insufficient_balance,2026-04-30 19:25:00,message,False,
P000006,C03264,5508.24,Card,network_error,2026-01-03 14:13:00,stop,True,56.0
P000007,C03843,2952.29,UPI,limit_exceeded,2026-02-12 18:02:00,payment_link,False,
P000008,C00723,1104.95,Card,expired_card,2026-05-07 21:11:00,payment_link,False,
P000009,C03057,1820.47,UPI,bank_timeout,2026-03-09 22:32:00,stop,True,39.0
P000010,C01044,3216.39,NetBanking,insufficient_balance,2026-01-23 17:02:00,stop,False,
P000011,C03454,2415.06,NetBanking,network_error,2026-02-19 05:36:00,escalate,False,
P000012,C01208,2815.06,UPI,insufficient_balance,2026-05-22 20:20:00,payment_link,False,
P000013,C02720,4766.69,UPI,bank_timeout,2026-02-07 03:20:00,payment_link,False,
P000014,C02674,748.9,NetBanking,insufficient_balance,2026-02-23 10:12:00,retry,False,
P000015,C00655,4530.54,UPI,insufficient_balance,2026-01-12 09:47:00,stop,False,
P000016,C01859,3119.22,Card,card_declined,2026-02-12 14:16:00,payment_link,False,
P000017,C02033,2075.29,UPI,bank_timeout,2026-03-15 08:21:00,payment_link,False,
P000018,C00479,2054.68,Card,insufficient_balance,2026-02-28 21:00:00,message,True,28.0
P000019,C01108,2689.41,UPI,network_error,2026-01-16 10:27:00,stop,False,
P000020,C03836,1636.71,Card,insufficient_balance,2026-01-16 22:40:00,stop,False,
P000021,C03325,7724.47,Card,limit_exceeded,2026-06-24 12:37:00,retry,False,
P000022,C03042,1957.18,Card,network_error,2026-03-01 08:31:00,payment_link,False,
P000023,C02046,632.41,Card,bank_timeout,2026-02-20 10:46:00,stop,False,
P000024,C03900,2323.86,UPI,insufficient_balance,2026-01-16 03:11:00,payment_link,False,
P000025,C02545,7362.41,UPI,bank_timeout,2026-02-08 05:28:00,payment_link,True,36.0
P000026,C00881,1665.18,Card,insufficient_balance,2026-05-29 05:35:00,message,True,48.0
P000027,C02368,2508.07,NetBanking,network_error,2026-04-27 01:46:00,stop,False,
P000028,C03550,8340.76,NetBanking,card_declined,2026-04-05 07:26:00,escalate,False,
P000029,C02490,11701.85,Card,insufficient_balance,2026-05-22 08:02:00,retry,False,
P000030,C01395,1505.35,UPI,bank_timeout,2026-05-16 15:38:00,retry,True,33.0
P000031,C00738,4509.08,NetBanking,bank_timeout,2026-02-22 15:34:00,escalate,False,
P000032,C03945,2087.16,Card,insufficient_balance,2026-04-02 17:53:00,escalate,True,51.0
P000033,C01084,1712.91,NetBanking,network_error,2026-05-28 13:49:00,retry,True,63.0
P000034,C00566,2525.9,Card,network_error,2026-06-23 21:32:00,escalate,False,
P000035,C00042,1002.39,UPI,insufficient_balance,2026-01-22 23:01:00,stop,False,
P000036,C01206,5451.36,Card,card_declined,2026-05-22 15:53:00,payment_link,True,6.0
P000037,C03194,9896.27,UPI,bank_timeout,2026-02-07 00:32:00,escalate,True,30.0
P000038,C02999,3155.75,UPI,network_error,2026-04-11 17:03:00,stop,False,
P000039,C01741,5760.62,Card,insufficient_balance,2026-01-29 15:31:00,message,True,61.0
P000040,C03483,615.72,Card,insufficient_balance,2026-03-17 05:28:00,payment_link,False,
P000041,C03774,1953.29,UPI,bank_timeout,2026-02-20 11:44:00,retry,True,52.0
P000042,C00917,1291.73,UPI,card_declined,2026-02-01 07:08:00,escalate,True,26.0
P000043,C03559,1154.33,Card,insufficient_balance,2026-03-04 19:15:00,escalate,False,
P000044,C03729,7073.15,UPI,network_error,2026-06-07 23:05:00,payment_link,True,38.0
P000045,C02906,3099.86,UPI,insufficient_balance,2026-04-02 21:48:00,stop,False,
P000046,C02303,1754.51,Card,card_declined,2026-01-28 14:21:00,message,False,
P000047,C03250,1020.77,Card,expired_card,2026-03-31 11:25:00,escalate,True,22.0
P000048,C00877,4985.34,Card,card_declined,2026-01-12 12:49:00,retry,False,
P000049,C03793,2441.75,UPI,insufficient_balance,2026-02-16 14:56:00,payment_link,True,58.0
P000050,C03618,2115.35,Card,insufficient_balance,2026-02-06 09:46:00,retry,False,
P000051,C02667,973.76,UPI,card_declined,2026-06-10 13:47:00,retry,False,
P000052,C03650,4882.02,Card,network_error,2026-05-03 22:50:00,message,False,
P000053,C02355,3699.85,UPI,card_declined,2026-01-20 16:45:00,payment_link,False,
P000054,C03580,1815.79,UPI,network_error,2026-01-30 20:55:00,escalate,False,
P000055,C02706,2760.85,NetBanking,insufficient_balance,2026-05-04 08:49:00,retry,True,51.0
P000056,C01846,4449.49,UPI,expired_card,2026-01-27 02:58:00,payment_link,True,27.0
P000057,C03419,5300.75,NetBanking,limit_exceeded,2026-02-12 16:02:00,retry,True,41.0
P000058,C00871,14568.71,NetBanking,bank_timeout,2026-04-14 10:56:00,message,True,57.0
P000059,C01825,1034.55,NetBanking,insufficient_balance,2026-01-03 08:09:00,payment_link,False,
P000060,C00060,3034.6,UPI,insufficient_balance,2026-03-16 07:43:00,escalate,False,
P000061,C03118,3932.88,UPI,insufficient_balance,2026-02-02 06:00:00,stop,False,
P000062,C01611,4258.59,Card,insufficient_balance,2026-06-21 18:12:00,escalate,True,72.0
P000063,C01027,1854.63,Card,card_declined,2026-04-02 08:31:00,payment_link,False,
P000064,C02483,1267.03,UPI,limit_exceeded,2026-04-21 15:50:00,escalate,True,27.0
P000065,C02614,4246.82,UPI,limit_exceeded,2026-03-02 07:10:00,message,True,71.0
P000066,C03196,12776.11,UPI,card_declined,2026-04-27 19:15:00,stop,False,
P000067,C03263,1888.0,NetBanking,expired_card,2026-06-04 09:52:00,retry,False,
P000068,C03602,9454.73,Card,card_declined,2026-02-10 04:30:00,escalate,True,58.0
P000069,C01819,940.8,Card,insufficient_balance,2026-01-29 01:33:00,escalate,False,
P000070,C03458,7115.92,NetBanking,expired_card,2026-01-21 08:39:00,retry,False,
P000071,C00544,11344.27,NetBanking,card_declined,2026-05-15 20:15:00,retry,False,
P000072,C00668,3930.83,UPI,insufficient_balance,2026-06-06 14:19:00,escalate,True,38.0
P000073,C03268,1141.27,UPI,card_declined,2026-03-07 17:05:00,payment_link,False,
P000074,C02471,1536.75,Card,card_declined,2026-02-09 18:33:00,message,True,34.0
P000075,C03764,29433.42,NetBanking,network_error,2026-06-16 20:03:00,retry,False,
P000076,C00087,10669.4,Card,network_error,2026-04-02 01:15:00,stop,False,
P000077,C01622,1429.19,Card,network_error,2026-02-12 13:38:00,retry,False,
P000078,C00404,4526.25,NetBanking,card_declined,2026-04-08 11:58:00,retry,True,19.0
P000079,C00276,5886.8,NetBanking,limit_exceeded,2026-02-01 09:47:00,payment_link,False,
P000080,C02049,3160.18,Card,insufficient_balance,2026-03-16 12:18:00,retry,False,
P000081,C03430,26015.44,UPI,bank_timeout,2026-06-15 13:02:00,stop,False,
P000082,C02765,3353.91,UPI,card_declined,2026-05-27 08:10:00,retry,True,72.0
P000083,C02772,6049.96,Card,expired_card,2026-04-24 00:00:00,escalate,True,57.0
P000084,C03802,645.87,NetBanking,bank_timeout,2026-01-04 01:20:00,retry,False,
P000085,C01364,1443.75,UPI,card_declined,2026-02-15 17:39:00,retry,False,
