attempt_id,payment_id,action,attempt_number,timestamp,result,recovered_amount
A00000001,P000001,retry,1,2026-03-26 18:43:00,failed,0.0
A00000002,P000002,message,1,2026-04-26 23:30:00,success,1573.7
A00000003,P000003,retry,1,2026-05-28 17:38:00,failed,0.0
A00000004,P000004,message,1,2026-01-13 18:14:00,success,1802.42
A00000005,P000005,message,1,2026-04-30 21:25:00,failed,0.0
A00000006,P000006,stop,1,2026-01-03 21:13:00,success,5508.24
A00000007,P000007,payment_link,1,2026-02-12 23:02:00,failed,0.0
A00000008,P000008,payment_link,1,2026-05-08 03:11:00,failed,0.0
A00000009,P000009,stop,1,2026-03-10 05:32:00,success,1820.47
A00000010,P000010,stop,1,2026-01-23 19:02:00,failed,0.0
A00000011,P000011,escalate,1,2026-02-19 10:36:00,failed,0.0
A00000012,P000012,payment_link,1,2026-05-22 21:20:00,failed,0.0
A00000013,P000013,payment_link,1,2026-02-07 04:20:00,failed,0.0
A00000014,P000014,retry,1,2026-02-23 17:12:00,failed,0.0
A00000015,P000015,stop,1,2026-01-12 10:47:00,failed,0.0
A00000016,P000016,payment_link,1,2026-02-12 20:16:00,failed,0.0
A00000017,P000017,payment_link,1,2026-03-15 11:21:00,failed,0.0
A00000018,P000018,message,1,2026-03-01 02:00:00,success,2054.68
A00000019,P000019,stop,1,2026-01-16 16:27:00,failed,0.0
A00000020,P000020,stop,1,2026-01-17 01:40:00,failed,0.0
A00000021,P000021,retry,1,2026-06-24 17:37:00,failed,0.0
A00000022,P000022,payment_link,1,2026-03-01 12:31:00,failed,0.0
A00000023,P000023,stop,1,2026-02-20 14:46:00,failed,0.0
A00000024,P000024,payment_link,1,2026-01-16 08:11:00,failed,0.0
A00000025,P000025,payment_link,1,2026-02-08 11:28:00,success,7362.41
A00000026,P000026,message,1,2026-05-29 10:35:00,success,1665.18
A00000027,P000027,stop,1,2026-04-27 05:46:00,failed,0.0
A00000028,P000028,escalate,1,2026-04-05 09:26:00,failed,0.0
A00000029,P000029,retry,1,2026-05-22 13:02:00,failed,0.0
A00000030,P000030,retry,1,2026-05-16 20:38:00,success,1505.35
A00000031,P000031,escalate,1,2026-02-22 20:34:00,failed,0.0
A00000032,P000032,escalate,1,2026-04-02 23:53:00,success,2087.16
A00000033,P000033,retry,1,2026-05-28 16:49:00,success,1712.91
A00000034,P000034,escalate,1,2026-06-24 03:32:00,failed,0.0
A00000035,P000035,stop,1,2026-01-23 06:01:00,failed,0.0
A00000036,P000036,payment_link,1,2026-05-22 19:53:00,success,5451.36
A00000037,P000037,escalate,1,2026-02-07 01:32:00,success,9896.27
A00000038,P000038,stop,1,2026-04-11 18:03:00,failed,0.0
A00000039,P000039,message,1,2026-01-29 17:31:00,success,5760.62
A00000040,P000040,payment_link,1,2026-03-17 07:28:00,failed,0.0
A00000041,P000041,retry,1,2026-02-20 13:44:00,success,1953.29
A00000042,P000042,escalate,1,2026-02-01 10:08:00,success,1291.73
A00000043,P000043,escalate,1,2026-03-05 00:15:00,failed,0.0
A00000044,P000044,payment_link,1,2026-06-08 00:05:00,success,7073.15
A00000045,P000045,stop,1,2026-04-02 23:48:00,failed,0.0
A00000046,P000046,message,1,2026-01-28 17:21:00,failed,0.0
A00000047,P000047,escalate,1,2026-03-31 18:25:00,success,1020.77
A00000048,P000048,retry,1,2026-01-12 16:49:00,failed,0.0
